state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn
UT,126.0,408.0,338-9472,no,no,0.0,211.6,70.0,35.97,216.9,80.0,18.44,153.5,60.0,6.91,7.8,1.0,2.11,1.0,False
TX,150.0,510.0,374-8042,no,no,0.0,178.9,101.0,30.41,169.1,110.0,14.37,148.6,100.0,6.69,13.8,3.0,3.73,4.0,True
NJ,138.0,408.0,359-1231,no,no,0.0,241.8,93.0,41.11,170.5,83.0,14.49,295.3,104.0,13.29,11.8,7.0,3.19,3.0,False
MN,162.0,510.0,413-7170,no,yes,46.0,224.9,97.0,38.23,188.2,84.0,16.0,254.6,61.0,11.46,12.1,2.0,3.27,0.0,False
NM,147.0,510.0,415-2935,no,no,0.0,248.6,83.0,42.26,148.9,85.0,12.66,172.5,109.0,7.76,8.0,4.0,2.16,3.0,False
NV,90.0,415.0,399-4246,no,no,0.0,203.4,146.0,34.58,226.7,117.0,19.27,152.4,105.0,6.86,7.3,4.0,1.97,1.0,False
HI,85.0,415.0,362-5889,no,no,0.0,235.8,109.0,40.09,157.2,94.0,13.36,188.2,99.0,8.47,12.0,3.0,3.24,0.0,False
MN,50.0,415.0,350-8921,no,no,0.0,157.1,90.0,26.71,223.3,72.0,18.98,181.4,111.0,8.16,6.1,2.0,1.65,1.0,False
DC,82.0,415.0,374-5353,no,no,0.0,300.3,109.0,51.05,181.0,100.0,15.39,270.1,73.0,12.15,11.7,4.0,3.16,0.0,True
NY,144.0,408.0,360-1171,no,no,0.0,61.6,117.0,10.47,77.1,85.0,6.55,173.0,99.0,7.79,8.2,7.0,2.21,4.0,True
MN,46.0,415.0,355-8887,no,no,0.0,214.1,72.0,36.4,164.4,104.0,13.97,177.5,113.0,7.99,8.2,3.0,2.21,2.0,False
MD,70.0,408.0,333-1967,no,no,0.0,170.2,98.0,28.93,155.2,102.0,13.19,228.6,76.0,10.29,15.0,2.0,4.05,1.0,False
WV,144.0,415.0,354-4577,no,no,0.0,201.1,99.0,34.19,303.5,74.0,25.8,224.0,119.0,10.08,13.2,2.0,3.56,1.0,False
OR,116.0,415.0,331-7425,yes,no,0.0,215.4,104.0,36.62,204.8,79.0,17.41,278.5,109.0,12.53,12.6,5.0,3.4,3.0,False
CO,55.0,408.0,419-2637,no,yes,25.0,165.6,123.0,28.15,136.1,95.0,11.57,175.7,90.0,7.91,11.0,2.0,2.97,3.0,False
GA,70.0,415.0,411-1530,no,yes,24.0,249.5,101.0,42.42,259.7,98.0,22.07,222.7,68.0,10.02,9.8,4.0,2.65,1.0,False
TX,106.0,510.0,395-3026,no,no,0.0,210.6,96.0,35.8,249.2,85.0,21.18,191.4,88.0,8.61,12.4,1.0,3.35,2.0,True
VT,128.0,510.0,388-6441,no,yes,29.0,179.3,104.0,30.48,225.9,86.0,19.2,323.0,78.0,14.54,8.6,7.0,2.32,0.0,False
IN,94.0,408.0,402-1251,no,no,0.0,157.9,105.0,26.84,155.0,101.0,13.18,189.6,84.0,8.53,8.0,5.0,2.16,4.0,True
WV,111.0,510.0,412-9997,no,no,0.0,214.3,118.0,36.43,208.5,76.0,17.72,182.4,98.0,8.21,12.0,2.0,3.24,1.0,False
KY,74.0,415.0,346-7302,no,yes,35.0,154.1,104.0,26.2,123.4,84.0,10.49,202.1,57.0,9.09,10.9,9.0,2.94,2.0,False
NJ,128.0,415.0,358-9095,no,no,0.0,237.9,125.0,40.44,247.6,93.0,21.05,208.9,68.0,9.4,13.9,4.0,3.75,1.0,True
DC,82.0,510.0,400-9770,no,no,0.0,143.9,61.0,24.46,194.9,105.0,16.57,109.6,94.0,4.93,11.1,2.0,3.0,1.0,False
LA,155.0,415.0,334-1275,no,no,0.0,203.4,100.0,34.58,190.9,104.0,16.23,196.0,119.0,8.82,8.9,4.0,2.4,0.0,True
AR,80.0,415.0,340-4953,no,no,0.0,124.3,100.0,21.13,173.0,107.0,14.71,253.2,62.0,11.39,7.9,9.0,2.13,1.0,False
ME,78.0,415.0,400-9510,no,no,0.0,252.9,93.0,42.99,178.4,112.0,15.16,263.9,105.0,11.88,9.5,7.0,2.57,3.0,False
AZ,90.0,415.0,387-6103,no,no,0.0,179.1,71.0,30.45,190.6,81.0,16.2,127.7,91.0,5.75,10.6,7.0,2.86,3.0,False
AK,104.0,408.0,366-4467,no,no,0.0,278.4,106.0,47.33,81.0,113.0,6.89,163.2,137.0,7.34,9.8,5.0,2.65,1.0,False
MT,73.0,415.0,370-3450,no,no,0.0,160.1,110.0,27.22,213.3,72.0,18.13,174.1,72.0,7.83,13.0,4.0,3.51,0.0,False
AZ,99.0,415.0,327-3954,no,no,0.0,198.2,87.0,33.69,207.3,76.0,17.62,190.9,113.0,8.59,8.7,3.0,2.35,4.0,False
MS,120.0,408.0,355-6291,no,no,0.0,212.1,131.0,36.06,209.4,104.0,17.8,167.2,96.0,7.52,5.3,5.0,1.43,1.0,True
ID,77.0,415.0,362-9748,no,no,0.0,251.8,72.0,42.81,205.7,126.0,17.48,275.2,109.0,12.38,9.8,7.0,2.65,2.0,True
IA,98.0,510.0,379-6506,no,yes,21.0,161.2,114.0,27.4,252.2,83.0,21.44,160.2,92.0,7.21,4.4,8.0,1.19,4.0,False
MA,108.0,415.0,347-7741,no,no,0.0,178.3,137.0,30.31,189.0,76.0,16.07,129.1,102.0,5.81,14.6,5.0,3.94,0.0,False
VT,135.0,415.0,354-3783,no,no,0.0,151.7,82.0,25.79,119.0,105.0,10.12,180.0,100.0,8.1,10.5,6.0,2.84,0.0,False
KY,95.0,408.0,401-7594,no,no,0.0,135.0,99.0,22.95,183.6,106.0,15.61,245.3,102.0,11.04,12.5,9.0,3.38,1.0,False
IN,122.0,408.0,397-4976,no,no,0.0,170.5,94.0,28.99,173.7,109.0,14.76,248.6,75.0,11.19,11.3,2.0,3.05,1.0,False
AZ,95.0,408.0,334-2577,no,no,0.0,238.1,65.0,40.48,187.2,98.0,15.91,190.0,115.0,8.55,11.8,4.0,3.19,4.0,False
MI,36.0,510.0,400-3637,no,yes,29.0,281.4,102.0,47.84,202.2,76.0,17.19,187.2,113.0,8.42,9.0,6.0,2.43,2.0,False
NM,93.0,510.0,383-4361,no,yes,21.0,117.9,131.0,20.04,164.5,115.0,13.98,217.0,86.0,9.76,9.8,3.0,2.65,1.0,False
CO,141.0,415.0,371-4306,no,yes,32.0,148.6,91.0,25.26,131.1,97.0,11.14,219.4,142.0,9.87,10.1,1.0,2.73,1.0,False
UT,157.0,408.0,403-4298,no,no,0.0,229.8,90.0,39.07,147.9,121.0,12.57,241.4,108.0,10.86,9.6,7.0,2.59,3.0,False
MI,120.0,408.0,409-3786,no,no,0.0,165.0,100.0,28.05,317.2,83.0,26.96,119.2,86.0,5.36,8.3,8.0,2.24,1.0,False
MA,103.0,415.0,337-4697,no,no,0.0,185.0,117.0,31.45,223.3,94.0,18.98,222.8,91.0,10.03,12.6,2.0,3.4,2.0,False
AL,98.0,408.0,383-1509,no,no,0.0,161.0,117.0,27.37,190.9,113.0,16.23,227.7,113.0,10.25,12.1,4.0,3.27,4.0,False
DE,125.0,408.0,359-9794,no,no,0.0,126.7,108.0,21.54,206.0,90.0,17.51,247.8,114.0,11.15,13.3,7.0,3.59,1.0,False
AZ,63.0,415.0,407-7035,no,no,0.0,58.9,125.0,10.01,169.6,59.0,14.42,211.4,88.0,9.51,9.4,3.0,2.54,1.0,False
ME,36.0,510.0,363-1069,yes,yes,42.0,196.8,89.0,33.46,254.9,122.0,21.67,138.3,126.0,6.22,20.0,6.0,5.4,0.0,True
NJ,64.0,510.0,391-4652,no,no,0.0,162.6,83.0,27.64,152.3,109.0,12.95,57.5,122.0,2.59,14.2,3.0,3.83,1.0,False
NV,74.0,415.0,355-6837,no,no,0.0,282.5,114.0,48.03,219.9,48.0,18.69,170.0,115.0,7.65,9.4,4.0,2.54,1.0,True
MO,112.0,510.0,409-1244,no,yes,36.0,113.7,117.0,19.33,157.5,82.0,13.39,177.6,118.0,7.99,10.0,3.0,2.7,2.0,False
ID,97.0,408.0,328-3266,no,no,0.0,239.8,125.0,40.77,214.8,111.0,18.26,143.3,81.0,6.45,8.7,5.0,2.35,2.0,False
NE,46.0,408.0,352-7072,no,no,0.0,210.2,92.0,35.73,227.3,77.0,19.32,200.1,116.0,9.0,13.1,7.0,3.54,1.0,False
TX,41.0,408.0,370-7550,no,yes,22.0,213.8,102.0,36.35,141.8,86.0,12.05,142.2,123.0,6.4,7.2,3.0,1.94,0.0,False
MD,121.0,510.0,369-5526,no,no,0.0,190.7,103.0,32.42,183.5,117.0,15.6,220.8,103.0,9.94,9.8,4.0,2.65,3.0,False
MS,193.0,415.0,329-4391,no,no,0.0,170.9,124.0,29.05,132.3,95.0,11.25,112.9,89.0,5.08,11.6,3.0,3.13,1.0,False
NV,130.0,510.0,408-4195,no,no,0.0,154.2,119.0,26.21,110.2,98.0,9.37,227.4,117.0,10.23,9.2,5.0,2.48,2.0,False
AZ,85.0,408.0,354-4445,no,no,0.0,201.4,52.0,34.24,229.4,104.0,19.5,252.5,106.0,11.36,12.0,3.0,3.24,1.0,False
MS,162.0,415.0,335-4858,no,no,0.0,70.7,108.0,12.02,157.5,87.0,13.39,154.8,82.0,6.97,9.1,3.0,2.46,4.0,True
MS,61.0,510.0,414-8718,no,yes,27.0,187.5,124.0,31.88,146.6,103.0,12.46,225.7,129.0,10.16,6.4,6.0,1.73,4.0,True
TX,92.0,408.0,409-5939,no,no,0.0,91.7,90.0,15.59,193.7,123.0,16.46,175.0,86.0,7.88,9.2,4.0,2.48,2.0,False
NE,131.0,408.0,331-4902,no,yes,36.0,214.2,115.0,36.41,161.7,117.0,13.74,264.7,102.0,11.91,9.5,4.0,2.57,3.0,False
NE,90.0,415.0,353-6870,no,no,0.0,145.5,92.0,24.74,217.7,114.0,18.5,146.9,123.0,6.61,10.9,2.0,2.94,3.0,False
CA,75.0,408.0,355-2909,no,no,0.0,166.3,125.0,28.27,158.2,86.0,13.45,256.7,80.0,11.55,6.1,5.0,1.65,1.0,False
NJ,78.0,415.0,390-6101,no,no,0.0,231.0,115.0,39.27,230.4,140.0,19.58,261.4,120.0,11.76,9.5,3.0,2.57,1.0,False
TX,82.0,408.0,400-3446,no,no,0.0,200.3,96.0,34.05,201.2,102.0,17.1,206.1,60.0,9.27,7.1,1.0,1.92,4.0,False
AR,163.0,408.0,411-5859,no,no,0.0,197.0,109.0,33.49,202.6,128.0,17.22,206.4,80.0,9.29,9.1,10.0,2.46,1.0,False
AL,91.0,510.0,387-2919,yes,no,0.0,129.9,112.0,22.08,173.3,83.0,14.73,247.2,130.0,11.12,11.2,3.0,3.02,3.0,False
NY,75.0,415.0,374-8525,no,yes,21.0,175.8,97.0,29.89,217.5,106.0,18.49,237.5,134.0,10.69,5.3,4.0,1.43,5.0,False
FL,91.0,510.0,379-5592,no,no,0.0,203.1,106.0,34.53,210.1,113.0,17.86,195.6,129.0,8.8,12.0,3.0,3.24,3.0,False
AK,127.0,510.0,345-8237,no,yes,36.0,183.2,117.0,31.14,126.8,76.0,10.78,263.3,71.0,11.85,11.2,8.0,3.02,1.0,False
NV,113.0,415.0,422-6690,no,yes,23.0,205.0,101.0,34.85,152.0,60.0,12.92,158.6,59.0,7.14,10.2,5.0,2.75,2.0,False
DE,110.0,510.0,346-2359,no,no,0.0,148.5,115.0,25.25,276.4,84.0,23.49,193.6,112.0,8.71,12.4,3.0,3.35,1.0,False
MD,120.0,415.0,374-3534,no,yes,39.0,200.3,68.0,34.05,220.4,97.0,18.73,253.8,116.0,11.42,10.5,4.0,2.84,0.0,False
MI,157.0,415.0,381-4756,no,yes,28.0,192.6,107.0,32.74,195.5,74.0,16.62,109.7,139.0,4.94,6.8,5.0,1.84,3.0,False
VT,103.0,510.0,390-2805,no,no,0.0,246.5,47.0,41.91,195.5,84.0,16.62,200.5,96.0,9.02,11.7,4.0,3.16,1.0,False
VT,117.0,408.0,390-2390,yes,no,0.0,167.1,86.0,28.41,177.5,87.0,15.09,249.4,132.0,11.22,14.1,7.0,3.81,2.0,True
MI,140.0,415.0,419-9097,no,no,0.0,231.9,101.0,39.42,160.1,94.0,13.61,110.4,98.0,4.97,14.3,6.0,3.86,3.0,False
WA,127.0,408.0,386-7281,no,no,0.0,146.7,91.0,24.94,203.5,78.0,17.3,203.4,110.0,9.15,13.7,3.0,3.7,1.0,False
UT,83.0,408.0,380-3561,yes,no,0.0,271.5,87.0,46.16,216.3,126.0,18.39,121.1,105.0,5.45,11.7,4.0,3.16,1.0,False
LA,121.0,408.0,390-8760,no,no,0.0,181.5,121.0,30.86,218.4,98.0,18.56,161.6,103.0,7.27,8.5,5.0,2.3,1.0,False
RI,145.0,408.0,366-6730,no,yes,43.0,257.7,97.0,43.81,162.1,95.0,13.78,286.9,86.0,12.91,11.1,4.0,3.0,2.0,False
IA,113.0,408.0,395-5285,no,no,0.0,193.8,99.0,32.95,221.4,125.0,18.82,172.3,67.0,7.75,10.6,6.0,2.86,1.0,False
NE,117.0,415.0,354-3436,no,no,0.0,102.8,119.0,17.48,206.7,91.0,17.57,299.0,105.0,13.46,10.1,7.0,2.73,1.0,False
OH,65.0,408.0,336-7600,no,no,0.0,187.9,116.0,31.94,157.6,117.0,13.4,227.3,86.0,10.23,7.5,6.0,2.03,1.0,False
RI,56.0,415.0,383-6293,no,no,0.0,226.0,112.0,38.42,248.5,118.0,21.12,140.5,142.0,6.32,6.9,11.0,1.86,1.0,False
OK,96.0,415.0,362-4596,no,no,0.0,260.4,115.0,44.27,146.0,46.0,12.41,269.5,87.0,12.13,11.5,4.0,3.11,5.0,False
LA,151.0,408.0,401-3926,no,no,0.0,178.7,116.0,30.38,292.1,138.0,24.83,265.9,101.0,11.97,9.8,4.0,2.65,0.0,False
OH,83.0,415.0,370-9116,no,no,0.0,337.4,120.0,57.36,227.4,116.0,19.33,153.9,114.0,6.93,15.8,7.0,4.27,0.0,True
VA,139.0,510.0,328-6289,no,yes,23.0,157.6,129.0,26.79,247.0,96.0,21.0,259.2,112.0,11.66,13.7,2.0,3.7,0.0,False
MO,6.0,510.0,350-9994,no,no,0.0,183.6,117.0,31.21,256.7,72.0,21.82,178.6,79.0,8.04,10.2,2.0,2.75,1.0,False
FL,115.0,510.0,351-4616,no,yes,24.0,142.1,124.0,24.16,183.4,129.0,15.59,164.8,114.0,7.42,9.6,4.0,2.59,1.0,False
SC,87.0,415.0,360-5779,no,no,0.0,136.3,97.0,23.17,172.2,108.0,14.64,137.5,101.0,6.19,7.1,5.0,1.92,0.0,False
VA,141.0,415.0,417-4885,no,no,0.0,217.1,110.0,36.91,241.5,111.0,20.53,253.5,103.0,11.41,12.0,6.0,3.24,0.0,False
IA,141.0,510.0,406-4710,no,yes,36.0,187.5,99.0,31.88,241.4,116.0,20.52,229.5,105.0,10.33,10.5,5.0,2.84,3.0,False
MI,62.0,415.0,409-8743,no,no,0.0,98.9,103.0,16.81,135.4,122.0,11.51,236.6,82.0,10.65,12.2,1.0,3.29,1.0,False
OK,146.0,415.0,335-4584,no,no,0.0,206.3,151.0,35.07,148.6,89.0,12.63,167.2,91.0,7.52,6.1,3.0,1.65,1.0,False
DE,92.0,415.0,361-9845,no,yes,33.0,243.1,92.0,41.33,213.8,92.0,18.17,228.7,104.0,10.29,12.1,2.0,3.27,2.0,False
GA,185.0,510.0,366-5699,no,yes,31.0,189.8,126.0,32.27,163.3,133.0,13.88,264.8,126.0,11.92,7.5,3.0,2.03,1.0,False
DC,148.0,415.0,329-9364,no,no,0.0,202.0,102.0,34.34,243.2,128.0,20.67,261.3,90.0,11.76,10.9,3.0,2.94,1.0,False
AZ,94.0,408.0,390-7434,no,yes,38.0,170.1,124.0,28.92,193.3,116.0,16.43,105.9,73.0,4.77,12.8,4.0,3.46,1.0,False
AL,32.0,510.0,404-9680,no,no,0.0,230.9,87.0,39.25,187.4,90.0,15.93,154.0,53.0,6.93,6.3,2.0,1.7,0.0,False
CO,68.0,408.0,338-9398,no,no,0.0,237.1,105.0,40.31,223.5,105.0,19.0,97.4,79.0,4.38,13.2,2.0,3.56,1.0,False
NH,64.0,408.0,394-2445,no,yes,27.0,182.1,91.0,30.96,169.7,98.0,14.42,164.7,86.0,7.41,10.6,5.0,2.86,2.0,False
NM,25.0,415.0,381-2709,no,no,0.0,119.3,87.0,20.28,211.5,101.0,17.98,268.9,86.0,12.1,10.5,4.0,2.84,3.0,False
OR,65.0,415.0,397-5060,no,no,0.0,116.8,87.0,19.86,178.9,93.0,15.21,182.4,150.0,8.21,14.1,2.0,3.81,1.0,False
LA,179.0,408.0,415-2393,no,no,0.0,219.2,92.0,37.26,149.4,125.0,12.7,244.7,104.0,11.01,6.1,5.0,1.65,0.0,False
